epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,374.074,0.828,1.57337,0.87552,1.18263,0.7652,0.12164,0.12829,0.09844,0.7474,0.11881,0.12333,0.09291,1.16694,2.52168,1.19869,1.298,0.00174848,0.00174848,0.00174848
31,386.474,0.79757,1.54419,0.90363,1.14971,0.68408,0.12588,0.12833,0.10683,0.6744,0.12447,0.1276,0.10061,0.99141,2.46376,1.11756,1.1226,0.00173168,0.00173168,0.00173168
32,398.76,0.80658,1.50756,0.87543,1.16051,0.8335,0.11881,0.12716,0.09985,0.81366,0.11598,0.12443,0.08734,1.14859,2.79772,1.21123,1.26908,0.00171442,0.00171442,0.00171442
33,411.244,0.8224,1.62767,0.90663,1.16687,0.69721,0.12164,0.12899,0.10149,0.68646,0.12164,0.12965,0.09967,1.05715,2.44768,1.15467,1.22016,0.00169672,0.00169672,0.00169672
34,423.633,0.77637,1.47537,0.82569,1.15642,0.74893,0.11814,0.12779,0.09831,0.81548,0.11598,0.1258,0.09669,1.11465,2.58049,1.12333,1.30708,0.00167858,0.00167858,0.00167858
35,436.039,0.80291,1.53559,0.84402,1.16752,0.78227,0.11881,0.12781,0.10372,0.77397,0.1174,0.12435,0.09831,0.97609,2.39834,1.05263,1.21164,0.00166002,0.00166002,0.00166002
36,448.514,0.81368,1.54471,0.86846,1.17723,0.70447,0.12138,0.123,0.09956,0.74844,0.12023,0.12353,0.09568,1.05534,2.5077,1.25016,1.22504,0.00164105,0.00164105,0.00164105
37,460.722,0.79492,1.49101,0.86177,1.14441,0.63335,0.1273,0.13014,0.09963,0.62748,0.12871,0.13032,0.09797,0.98356,2.27936,1.10336,1.16043,0.00162168,0.00162168,0.00162168
38,473.385,0.79584,1.50925,0.86395,1.15886,0.73863,0.12447,0.13051,0.10101,0.73863,0.12447,0.13075,0.10053,1.04429,2.32739,1.11998,1.23514,0.00160193,0.00160193,0.00160193
39,485.814,0.81191,1.50075,0.87702,1.17088,0.77095,0.12447,0.13088,0.10815,0.76219,0.12306,0.12752,0.10198,0.9725,2.50124,1.06285,1.14739,0.0015818,0.0015818,0.0015818
