epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5187,0.58869,1.22253,0.63216,1.05617,0.77911,0.12588,0.13734,0.11644,0.84273,0.12871,0.13845,0.111,0.89943,2.27757,0.89813,1.04027,0.00024,0.00024,0.00024
2,25.3859,0.66559,1.29298,0.69452,1.09169,0.77217,0.12447,0.13202,0.11057,0.78972,0.1273,0.13364,0.10611,0.96099,2.33085,0.99242,1.14874,0.000499922,0.000499922,0.000499922
3,38.3789,0.70831,1.40132,0.78976,1.09929,0.75075,0.12447,0.13138,0.1077,0.75556,0.1273,0.13077,0.10061,0.99811,2.43441,1.14101,1.13114,0.000759525,0.000759525,0.000759525
4,51.1272,0.76981,1.51104,0.83354,1.12935,0.72351,0.11881,0.12066,0.09456,0.72923,0.12023,0.12326,0.08822,1.09466,2.93493,1.38437,1.21356,0.00101857,0.00101857,0.00101857
5,63.1422,0.77395,1.48296,0.84383,1.14203,0.64967,0.12447,0.12559,0.10021,0.66781,0.12164,0.12629,0.09708,0.92508,2.67083,1.2937,1.07997,0.0012768,0.0012768,0.0012768
6,75.0962,0.77701,1.54419,0.84795,1.15697,0.64516,0.12306,0.1258,0.0969,0.64594,0.12306,0.12736,0.08978,1.1295,2.66417,1.31815,1.28653,0.00153399,0.00153399,0.00153399
7,87.1465,0.76489,1.55732,0.88972,1.13238,0.76159,0.11457,0.12128,0.09133,0.58692,0.11857,0.11785,0.08266,1.28838,3.1405,1.28723,1.47519,0.00178989,0.00178989,0.00178989
8,99.2704,0.81438,1.62534,0.88249,1.15124,0.44535,0.1174,0.1021,0.06797,0.52616,0.11174,0.09956,0.0642,1.48317,3.21715,1.93437,1.59213,0.00198472,0.00198472,0.00198472
9,111.749,0.87429,1.71429,0.90107,1.21266,0.66098,0.11881,0.1105,0.07487,0.65311,0.1174,0.10825,0.06867,1.22723,3.07524,1.64733,1.32015,0.00198006,0.00198006,0.00198006
10,124.015,0.88065,1.76199,0.95051,1.19407,0.66326,0.11457,0.1164,0.08141,0.66818,0.11033,0.11187,0.06583,1.2481,5.27922,1.61294,1.38074,0.00197478,0.00197478,0.00197478
11,136.277,0.87666,1.58155,0.92109,1.21069,0.68737,0.11174,0.11591,0.08354,0.68441,0.11033,0.11318,0.07003,1.33538,3.78083,1.38519,1.62652,0.0019689,0.0019689,0.0019689
12,148.62,0.84329,1.53252,0.91622,1.19589,0.60609,0.12306,0.11975,0.08962,0.59163,0.12023,0.1174,0.08228,1.17902,2.64716,1.69856,1.42568,0.00196241,0.00196241,0.00196241
13,160.722,0.85571,1.62924,0.89466,1.19072,0.78461,0.12306,0.12684,0.10095,0.77559,0.12164,0.12578,0.08672,1.03671,2.73907,1.34883,1.2668,0.00195532,0.00195532,0.00195532
14,172.829,0.84185,1.62745,0.94157,1.17901,0.86652,0.1174,0.12552,0.08649,0.85547,0.11598,0.12256,0.07294,1.12847,2.62327,1.80796,1.35438,0.00194763,0.00194763,0.00194763
15,185.001,0.84233,1.7098,0.89972,1.18363,0.75858,0.11881,0.1285,0.09859,0.80044,0.10891,0.11862,0.07068,1.07461,3.77946,1.48585,1.31605,0.00193935,0.00193935,0.00193935
16,197.161,0.85521,1.63028,0.93955,1.19022,0.78273,0.11881,0.12258,0.09252,0.78368,0.11598,0.11995,0.08652,1.10828,2.52305,1.49935,1.37288,0.00193048,0.00193048,0.00193048
17,209.481,0.8405,1.60362,0.93415,1.18835,0.60566,0.11033,0.11241,0.07964,0.5979,0.10891,0.10486,0.06958,1.23895,3.23806,1.5701,1.49066,0.00192103,0.00192103,0.00192103
18,221.847,0.83523,1.64315,0.92324,1.17332,0.35901,0.08628,0.08269,0.05251,0.6245,0.06223,0.0641,0.03431,1.95773,5.68202,2.14472,2.12159,0.001911,0.001911,0.001911
19,234.085,0.83474,1.66676,0.90863,1.1962,0.76746,0.10325,0.11072,0.07217,0.76746,0.10325,0.11139,0.06284,1.42173,3.0711,1.74091,1.73079,0.00190041,0.00190041,0.00190041
20,246.295,0.83803,1.62072,0.91654,1.1847,0.33387,0.09335,0.08257,0.05714,0.31925,0.09052,0.07851,0.04921,1.46399,4.38989,2.06392,1.6049,0.00188926,0.00188926,0.00188926
21,258.477,0.81465,1.57533,0.90787,1.16418,0.60435,0.11598,0.11835,0.0825,0.60435,0.11598,0.1154,0.07663,1.3275,2.73418,1.4719,1.38731,0.00187754,0.00187754,0.00187754
22,270.68,0.84091,1.60539,0.89903,1.1785,0.73611,0.11598,0.11446,0.08102,0.58749,0.12023,0.11499,0.08347,1.23722,2.48021,1.49015,1.37385,0.00186528,0.00186528,0.00186528
23,282.862,0.85161,1.63707,0.93169,1.20185,0.6363,0.1163,0.10957,0.07557,0.58207,0.1182,0.11103,0.07395,1.26822,2.79869,1.55176,1.4119,0.00185248,0.00185248,0.00185248
