epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4364,1.29334,3.70035,3.19072,1.59996,0.49308,0.14909,0.14216,0.08337,0.60539,0.13455,0.13411,0.07406,1.48143,4.7592,4.55584,2.18031,0.0005,0.0005,0.0005
2,27.8306,1.36569,2.71821,1.8188,1.60573,0.00247,0.01818,0.00072,0.00023,8e-05,0.00182,4e-05,1e-05,4.5744,nan,inf,91.9373,0.00101192,0.00101192,0.00101192
3,40.0234,1.38292,2.59082,1.64919,1.6051,0.09105,0.05091,0.00773,0.00194,0.04082,0.00727,0.00049,9e-05,3.65274,68.2602,20.4766,6.44009,0.00151561,0.00151561,0.00151561
4,52.632,1.47297,2.6897,1.68384,1.66945,0.01297,0.00909,0.00079,0.00022,0.01086,0.01636,0.00085,0.00035,4.49851,24.2587,63.4597,9.09469,0.00195248,0.00195248,0.00195248
5,65.1899,1.41143,2.59846,1.61361,1.61382,0.11368,0.06909,0.03546,0.01202,0.0429,0.01455,0.00521,0.0017,2.8314,18.0454,4.9785,3.78989,0.00193664,0.00193664,0.00193664
6,77.9625,1.37498,2.52815,1.53607,1.60049,0.31518,0.11464,0.07039,0.02587,0.29719,0.09818,0.06149,0.02743,2.34095,5.62086,7.64437,2.87727,0.0019208,0.0019208,0.0019208
7,91.2652,1.35498,2.46622,1.53892,1.60184,0.13364,0.14364,0.05918,0.0299,0.20563,0.06909,0.03598,0.02335,1.8246,5.95587,7.44383,2.37897,0.00190496,0.00190496,0.00190496
8,104.576,1.30114,2.48412,1.48269,1.52603,0.16917,0.09455,0.04321,0.02157,0.15833,0.08545,0.04496,0.02276,2.2231,4.07914,4.71443,2.56185,0.00188912,0.00188912,0.00188912
9,117.867,1.32447,2.4318,1.54593,1.56406,0.53789,0.15636,0.13771,0.08084,0.53226,0.15455,0.13166,0.07845,1.46824,3.40301,3.25585,1.8479,0.00187328,0.00187328,0.00187328
10,130.896,1.31211,2.39181,1.43448,1.52862,0.24328,0.11636,0.07725,0.0399,0.34269,0.07091,0.05192,0.03086,1.95866,5.88776,3.38179,2.06269,0.00185744,0.00185744,0.00185744
11,143.75,1.29167,2.48844,1.45989,1.50416,0.53751,0.13818,0.14047,0.08819,0.7417,0.12909,0.13462,0.08226,1.52501,3.36394,3.2705,1.80246,0.0018416,0.0018416,0.0018416
12,156.938,1.21765,2.32622,1.38772,1.47899,0.38169,0.13091,0.09989,0.06138,0.21923,0.07455,0.05279,0.02845,1.76132,8.24508,2.03494,1.93396,0.00182576,0.00182576,0.00182576
13,169.818,1.29299,2.45933,1.40289,1.53229,0.68033,0.16,0.15919,0.11395,0.66409,0.15636,0.15285,0.11065,1.31169,3.3758,1.51719,1.51439,0.00180992,0.00180992,0.00180992
14,183.135,1.15194,2.23284,1.29455,1.44004,0.63363,0.14727,0.14887,0.1073,0.63363,0.14727,0.14583,0.10366,1.38425,3.20517,1.50726,1.70633,0.00179408,0.00179408,0.00179408
15,196.147,1.2223,2.41893,1.36873,1.4584,0.49865,0.13636,0.11897,0.0692,0.45293,0.12182,0.10137,0.05822,1.81333,3.93612,2.02058,1.98757,0.00177824,0.00177824,0.00177824
