epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.927,0.4677,0.90185,0.4694,0.95423,0.84435,0.16364,0.17451,0.14699,0.84435,0.16364,0.17211,0.14665,0.82277,2.81538,1.00705,1.13648,0.0005,0.0005,0.0005
2,27.7089,0.47171,0.86125,0.42413,0.93938,0.83656,0.1489,0.16136,0.13886,0.84676,0.15071,0.1632,0.13879,0.90813,2.76838,1.16833,1.23879,0.00101192,0.00101192,0.00101192
3,40.9884,0.50757,0.89115,0.46531,0.96141,0.80853,0.16123,0.16906,0.13818,0.86868,0.15635,0.16657,0.13448,0.9245,2.84964,1.15881,1.28657,0.00151561,0.00151561,0.00151561
4,55.259,0.54649,0.96102,0.51008,0.97938,0.84638,0.15455,0.16351,0.13239,0.72686,0.15818,0.16298,0.13243,0.93354,2.77837,1.16722,1.21684,0.00195248,0.00195248,0.00195248
5,68.1945,0.55203,0.97551,0.52583,0.9747,0.84434,0.16,0.16755,0.13854,0.81216,0.16,0.16686,0.1351,0.86333,2.86341,1.07077,1.15463,0.00193664,0.00193664,0.00193664
6,81.4367,0.52856,0.97273,0.48632,0.97744,0.74747,0.15455,0.16335,0.13609,0.74747,0.15455,0.16171,0.13266,0.9127,2.78595,1.18624,1.24572,0.0019208,0.0019208,0.0019208
7,94.521,0.5683,1.00293,0.56489,0.993,0.72711,0.15503,0.16318,0.13265,0.71497,0.15091,0.16108,0.12851,0.99326,2.728,1.33937,1.3136,0.00190496,0.00190496,0.00190496
8,107.648,0.57338,1.08326,0.56153,0.97786,0.73554,0.15455,0.16499,0.1353,0.8456,0.14937,0.16162,0.13157,0.87029,2.93735,1.14167,1.20594,0.00188912,0.00188912,0.00188912
9,120.793,0.55915,0.99518,0.53537,0.98452,0.77759,0.15636,0.16107,0.13417,0.77792,0.15636,0.16386,0.12821,0.85669,2.78375,1.05384,1.12339,0.00187328,0.00187328,0.00187328
10,133.863,0.5884,1.10322,0.56484,1.00442,0.76841,0.16727,0.17159,0.13769,0.79458,0.15818,0.16299,0.13309,0.90844,2.80649,1.02897,1.20805,0.00185744,0.00185744,0.00185744
11,147.026,0.59207,1.09098,0.58632,0.99565,0.6317,0.16545,0.16594,0.12973,0.6317,0.16545,0.1641,0.13078,0.99905,2.91792,1.24457,1.32182,0.0018416,0.0018416,0.0018416
12,160.256,0.55569,0.95716,0.54108,0.99815,0.79879,0.16545,0.17423,0.13689,0.78091,0.16182,0.16858,0.13513,0.949,2.64347,1.01548,1.31814,0.00182576,0.00182576,0.00182576
13,173.187,0.59725,1.12793,0.57481,1.00293,0.74231,0.1676,0.16685,0.1397,0.73462,0.1661,0.16764,0.13683,0.87959,2.68596,1.15679,1.14211,0.00180992,0.00180992,0.00180992
