epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4556,0.59294,1.18423,0.60641,1.04847,0.73648,0.13013,0.13703,0.1166,0.76214,0.13154,0.1362,0.11394,0.87771,2.20298,0.95885,1.04162,0.000392157,0.000392157,0.000392157
2,26.3452,0.63086,1.15118,0.64096,1.06085,0.84122,0.12306,0.13395,0.11252,0.86056,0.12588,0.13501,0.10828,0.92307,2.28867,0.96872,1.1527,0.000792033,0.000792033,0.000792033
3,39.1396,0.64282,1.23113,0.67275,1.05492,0.70617,0.12871,0.13497,0.10835,0.71399,0.12871,0.13283,0.10788,0.98038,2.29386,1.00228,1.14541,0.00119141,0.00119141,0.00119141
4,52.0966,0.65775,1.20359,0.71955,1.06056,0.88916,0.12588,0.13723,0.11391,0.88916,0.12588,0.13749,0.11116,0.94603,2.31657,1.04308,1.11423,0.00158992,0.00158992,0.00158992
5,64.6525,0.69261,1.32456,0.72723,1.09374,0.80845,0.1194,0.1276,0.10068,0.84585,0.11881,0.12807,0.09561,1.09975,2.47766,1.20018,1.27894,0.00198718,0.00198718,0.00198718
6,77.0252,0.73513,1.36916,0.75694,1.1138,0.91407,0.12023,0.12976,0.11053,0.92619,0.11881,0.12834,0.0996,0.9467,2.98772,1.03038,1.08153,0.00199219,0.00199219,0.00199219
7,89.623,0.74115,1.46985,0.77817,1.11923,0.78625,0.12447,0.12846,0.10641,0.74806,0.12447,0.12596,0.10375,0.95439,2.36958,1.23273,1.13142,0.00198877,0.00198877,0.00198877
8,102.016,0.72153,1.43397,0.79346,1.11497,0.73326,0.12447,0.12961,0.10793,0.731,0.12447,0.132,0.1025,0.98291,2.51963,1.12442,1.09229,0.00198472,0.00198472,0.00198472
9,114.615,0.74656,1.43721,0.78982,1.12411,0.80147,0.12306,0.12947,0.10681,0.81068,0.12447,0.13002,0.10038,0.97182,2.7628,1.09698,1.173,0.00198006,0.00198006,0.00198006
10,127.157,0.75638,1.48453,0.81504,1.1103,0.81902,0.12588,0.13438,0.11194,0.81448,0.12447,0.12953,0.10329,0.97179,2.6336,1.1435,1.14075,0.00197478,0.00197478,0.00197478
11,139.697,0.78248,1.43224,0.83272,1.15042,0.67086,0.12164,0.12407,0.10309,0.65419,0.12306,0.12416,0.09409,1.0137,2.87768,1.14012,1.2052,0.0019689,0.0019689,0.0019689
12,151.962,0.7366,1.42593,0.76544,1.12439,0.79435,0.12306,0.12635,0.10583,0.7846,0.12164,0.12494,0.09952,0.87711,2.6655,0.97959,1.07384,0.00196241,0.00196241,0.00196241
13,164.423,0.73568,1.52352,0.78656,1.12711,0.77959,0.1273,0.13448,0.11554,0.73619,0.1273,0.13435,0.1087,0.85799,2.34671,0.95627,1.0465,0.00195532,0.00195532,0.00195532
14,176.942,0.68516,1.32908,0.75803,1.09874,0.7794,0.12164,0.12738,0.10519,0.71186,0.12164,0.12647,0.09892,0.94753,2.46948,1.16257,1.16834,0.00194763,0.00194763,0.00194763
15,189.668,0.70559,1.31193,0.75502,1.09961,0.77235,0.12306,0.1278,0.10438,0.76347,0.12164,0.12806,0.10295,1.08522,2.69688,1.10473,1.31519,0.00193935,0.00193935,0.00193935
16,202.241,0.7416,1.45233,0.81248,1.11221,0.84504,0.11881,0.12502,0.10618,0.8551,0.12023,0.12535,0.10007,0.99021,2.55741,1.07004,1.18735,0.00193048,0.00193048,0.00193048
17,214.626,0.75457,1.48256,0.82726,1.14058,0.78132,0.12871,0.1329,0.11046,0.82102,0.12588,0.13233,0.1017,1.04376,2.53833,0.98669,1.20565,0.00192103,0.00192103,0.00192103
18,227.101,0.70908,1.3956,0.77499,1.09835,0.86716,0.12164,0.13627,0.1131,0.77404,0.12164,0.13393,0.10765,0.92718,2.32569,1.07766,1.08973,0.001911,0.001911,0.001911
19,239.505,0.75997,1.46686,0.81974,1.13199,0.78881,0.12588,0.13318,0.11205,0.77995,0.12447,0.13234,0.10703,0.96336,2.385,1.159,1.11529,0.00190041,0.00190041,0.00190041
20,251.893,0.73359,1.37451,0.79313,1.12568,0.80807,0.12306,0.13044,0.10882,0.7895,0.12023,0.12868,0.10494,0.94347,2.50301,1.09228,1.09836,0.00188926,0.00188926,0.00188926
21,264.459,0.76161,1.42462,0.81966,1.13145,0.81692,0.12164,0.13191,0.10773,0.80743,0.12023,0.1299,0.10234,1.0165,2.3248,1.06472,1.17621,0.00187754,0.00187754,0.00187754
22,276.819,0.68459,1.31571,0.74213,1.08308,0.86478,0.12164,0.12534,0.10353,0.86478,0.12164,0.12529,0.10404,0.96134,2.2506,1.25875,1.19121,0.00186528,0.00186528,0.00186528
