epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2379,0.42813,0.79005,0.40294,0.93124,0.79747,0.16545,0.17494,0.15225,0.7887,0.16364,0.17447,0.15103,0.79522,2.60058,1.03687,1.16867,0.0005,0.0005,0.0005
2,28.0613,0.44984,0.78696,0.3957,0.92871,0.83259,0.16276,0.16961,0.14111,0.82329,0.16095,0.16931,0.14149,0.88493,2.57403,1.15539,1.26485,0.00101192,0.00101192,0.00101192
3,41.2426,0.47841,0.81318,0.42759,0.94447,0.93071,0.16364,0.17412,0.14152,0.87615,0.16,0.16972,0.1403,0.89989,2.86408,1.00728,1.28578,0.00151561,0.00151561,0.00151561
4,55.6025,0.52109,0.88936,0.47389,0.96412,0.73054,0.15636,0.15835,0.13179,0.71355,0.15273,0.15148,0.12716,0.88559,2.97543,1.19761,1.21444,0.00195248,0.00195248,0.00195248
5,68.3074,0.50666,0.88542,0.47411,0.95549,0.80716,0.16364,0.17212,0.14551,0.79726,0.15818,0.16927,0.14317,0.83267,3.00006,1.04875,1.16,0.00193664,0.00193664,0.00193664
6,81.2363,0.48034,0.87146,0.43585,0.9436,0.78728,0.15477,0.16305,0.13699,0.76237,0.15273,0.15777,0.13256,0.84576,2.93804,1.06873,1.19854,0.0019208,0.0019208,0.0019208
7,94.4637,0.5176,0.89316,0.48467,0.96768,0.82737,0.16364,0.16664,0.13721,0.82137,0.16182,0.1671,0.13751,0.92321,2.74413,1.01976,1.25957,0.00190496,0.00190496,0.00190496
8,107.429,0.54952,0.95011,0.48938,0.96285,0.74251,0.16253,0.16519,0.13471,0.72292,0.16182,0.16481,0.1343,0.93349,2.93796,1.13867,1.25749,0.00188912,0.00188912,0.00188912
9,120.639,0.54556,0.88117,0.49889,0.97041,0.76794,0.16182,0.16936,0.14133,0.73323,0.15455,0.16424,0.13772,0.92745,3.24777,1.18946,1.31045,0.00187328,0.00187328,0.00187328
10,133.752,0.56057,1.0068,0.51536,0.98413,0.78453,0.16,0.16578,0.137,0.77561,0.15818,0.16345,0.13363,0.90385,2.99033,1.20502,1.28635,0.00185744,0.00185744,0.00185744
11,146.85,0.57413,0.98409,0.5355,0.9799,0.76071,0.16545,0.16815,0.14112,0.75235,0.16364,0.16741,0.13984,0.87078,2.97095,1.16373,1.23069,0.0018416,0.0018416,0.0018416
12,160.125,0.52586,0.87089,0.49439,0.97139,0.8412,0.16364,0.16998,0.14415,0.82251,0.16,0.16646,0.13971,0.83542,2.94763,1.03234,1.20023,0.00182576,0.00182576,0.00182576
13,173.228,0.55354,1.01865,0.51367,0.97702,0.88944,0.16182,0.16998,0.13806,0.8688,0.15818,0.16642,0.13797,0.92996,2.99746,1.14206,1.28947,0.00180992,0.00180992,0.00180992
14,186.168,0.52171,0.91363,0.49401,0.96545,0.81157,0.16727,0.17442,0.13888,0.783,0.16182,0.16725,0.13675,0.94497,2.73164,1.10302,1.30347,0.00179408,0.00179408,0.00179408
