epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7181,0.52338,1.02415,0.53345,0.98862,0.82865,0.16364,0.17275,0.14361,0.81024,0.16,0.16891,0.14192,0.83132,2.51304,1.0064,1.14706,0.0005,0.0005,0.0005
2,28.183,0.53131,1.02391,0.49484,0.97716,0.81276,0.16182,0.17287,0.14444,0.80337,0.16,0.16812,0.14225,0.88234,2.59496,1.01789,1.19801,0.00101192,0.00101192,0.00101192
3,42.1208,0.57866,1.08412,0.57462,1.00736,0.74046,0.16,0.16276,0.12912,0.76462,0.15636,0.16046,0.12735,0.96038,2.57437,1.23865,1.1929,0.00151561,0.00151561,0.00151561
4,56.11,0.62245,1.16681,0.61173,1.02443,0.75044,0.15855,0.16077,0.12499,0.74863,0.16182,0.16338,0.1304,1.05026,2.53189,1.2659,1.28085,0.00195248,0.00195248,0.00195248
5,69.4798,0.61863,1.15939,0.61633,1.01834,0.77515,0.15818,0.1657,0.11632,0.74661,0.15273,0.15818,0.10474,1.13827,3.57491,1.28652,1.41897,0.00193664,0.00193664,0.00193664
6,82.3139,0.59983,1.19227,0.58642,1.02951,0.73004,0.15455,0.1489,0.11779,0.74722,0.15818,0.15985,0.11764,1.0904,2.984,1.35242,1.36914,0.0019208,0.0019208,0.0019208
7,95.2101,0.63484,1.20086,0.64021,1.04015,0.74881,0.15719,0.16628,0.13361,0.74881,0.15719,0.16654,0.13254,0.99142,2.76207,1.18611,1.27589,0.00190496,0.00190496,0.00190496
8,108.731,0.65544,1.23157,0.64008,1.02207,0.83651,0.15455,0.16858,0.13491,0.82667,0.15273,0.16526,0.13444,0.9596,2.80356,1.12133,1.32133,0.00188912,0.00188912,0.00188912
9,121.64,0.65694,1.15133,0.65577,1.04221,0.80113,0.15818,0.16749,0.13883,0.81033,0.16,0.16737,0.13845,0.89812,2.71057,0.99643,1.21147,0.00187328,0.00187328,0.00187328
10,135.13,0.67753,1.31304,0.68233,1.06091,0.74107,0.16727,0.17475,0.14158,0.74121,0.15818,0.16542,0.13658,0.88801,2.63551,1.05307,1.16404,0.00185744,0.00185744,0.00185744
11,148.03,0.67072,1.28902,0.68623,1.04613,0.67985,0.15455,0.15947,0.13424,0.68785,0.15636,0.15873,0.13429,0.91188,2.62698,1.13685,1.20102,0.0018416,0.0018416,0.0018416
12,161.046,0.65535,1.19494,0.63797,1.05822,0.67324,0.16,0.16413,0.13401,0.80501,0.15273,0.16106,0.1216,0.93945,3.05978,1.09978,1.2978,0.00182576,0.00182576,0.00182576
13,174.449,0.67085,1.34849,0.68646,1.05709,0.87615,0.15435,0.16329,0.12973,0.82537,0.15455,0.16105,0.12418,0.94576,2.87487,1.17431,1.26091,0.00180992,0.00180992,0.00180992
14,187.498,0.65097,1.24943,0.65229,1.05612,0.74971,0.17091,0.17499,0.14011,0.82009,0.16364,0.16722,0.13637,0.97232,2.53347,1.12642,1.28445,0.00179408,0.00179408,0.00179408
15,201.096,0.65568,1.31762,0.63831,1.04012,0.78146,0.14909,0.15913,0.11978,0.7428,0.14703,0.15271,0.11845,1.12529,2.61878,1.37566,1.43182,0.00177824,0.00177824,0.00177824
16,214.531,0.67216,1.25995,0.65824,1.04387,0.79757,0.16364,0.16285,0.12787,0.75267,0.15455,0.15161,0.12295,1.03209,2.51424,1.299,1.31734,0.0017624,0.0017624,0.0017624
17,227.557,0.68011,1.28746,0.66738,1.06162,0.83895,0.15636,0.16497,0.12769,0.81944,0.15273,0.16154,0.12894,1.01445,2.68869,1.28317,1.27924,0.00174656,0.00174656,0.00174656
18,240.907,0.64254,1.29228,0.63887,1.04246,0.81171,0.16,0.16265,0.12834,0.82094,0.16182,0.16129,0.12605,1.00613,2.45442,1.1191,1.30986,0.00173072,0.00173072,0.00173072
19,253.972,0.65186,1.28928,0.66044,1.055,0.64654,0.16727,0.16812,0.1286,0.6471,0.16545,0.16335,0.12605,1.05515,2.82948,1.14089,1.42921,0.00171488,0.00171488,0.00171488
20,267.234,0.65388,1.29444,0.65189,1.0612,0.76058,0.16182,0.16883,0.1383,0.72983,0.15636,0.16016,0.13149,0.98363,2.41688,1.24242,1.25625,0.00169904,0.00169904,0.00169904
21,280.211,0.6275,1.25134,0.62664,1.03443,0.71038,0.16182,0.17083,0.1412,0.68644,0.15636,0.16343,0.1351,0.88973,2.49712,1.07318,1.17552,0.0016832,0.0016832,0.0016832
22,293.084,0.68114,1.28333,0.65396,1.06098,0.68508,0.16727,0.17421,0.13732,0.6774,0.16545,0.16779,0.13391,1.0279,2.68012,1.22533,1.28461,0.00166736,0.00166736,0.00166736
23,306.311,0.62437,1.16214,0.62763,1.0251,0.69709,0.16182,0.16993,0.13434,0.70174,0.15636,0.1634,0.13033,1.00253,2.69285,1.18582,1.24741,0.00165152,0.00165152,0.00165152
24,319.167,0.59936,1.13525,0.61079,1.02018,0.80448,0.15091,0.16177,0.13032,0.78316,0.14727,0.15378,0.12658,0.96566,2.58495,1.13755,1.25278,0.00163568,0.00163568,0.00163568
25,332.407,0.6727,1.24932,0.65722,1.04481,0.65406,0.16,0.16295,0.13283,0.66312,0.16182,0.163,0.13041,0.96316,2.34926,1.24605,1.22051,0.00161984,0.00161984,0.00161984
26,345.74,0.66661,1.23069,0.66243,1.04601,0.7801,0.16364,0.1676,0.13532,0.77143,0.16182,0.16314,0.13291,0.93864,2.54362,1.26699,1.18437,0.001604,0.001604,0.001604
27,358.787,0.64414,1.242,0.66634,1.03187,0.73008,0.16182,0.15973,0.13137,0.73008,0.16182,0.15954,0.12986,0.92284,2.41079,1.28919,1.1902,0.00158816,0.00158816,0.00158816
28,372.159,0.65725,1.28567,0.65726,1.03511,0.83895,0.15636,0.16362,0.13662,0.8292,0.15455,0.15926,0.13424,0.92827,2.56481,1.17687,1.18568,0.00157232,0.00157232,0.00157232
29,385.067,0.64936,1.16925,0.65563,1.05399,0.68774,0.16182,0.16682,0.13473,0.72162,0.15455,0.15988,0.13132,0.97028,2.49897,1.21546,1.24149,0.00155648,0.00155648,0.00155648
30,398.272,0.64936,1.21944,0.657,1.0482,0.76048,0.15587,0.16617,0.12786,0.74112,0.15273,0.16137,0.12459,1.03397,2.505,1.16192,1.28539,0.00154064,0.00154064,0.00154064
31,411.215,0.62569,1.2188,0.62778,1.03678,0.79876,0.16364,0.16768,0.13629,0.77195,0.15818,0.15882,0.13146,0.98964,2.71897,1.24044,1.26272,0.0015248,0.0015248,0.0015248
32,424.376,0.63694,1.1483,0.63414,1.04769,0.71137,0.16182,0.16728,0.131,0.68624,0.15636,0.16249,0.12207,1.02168,3.08572,1.18504,1.33227,0.00150896,0.00150896,0.00150896
33,437.594,0.59909,1.13909,0.60084,1.02116,0.77221,0.16545,0.16328,0.13179,0.76318,0.16364,0.16354,0.12857,1.00608,2.63018,1.14786,1.341,0.00149312,0.00149312,0.00149312
34,450.443,0.62384,1.14722,0.62182,1.01773,0.81192,0.16182,0.16815,0.13196,0.75608,0.16,0.16393,0.13366,1.04369,2.55347,1.21067,1.41542,0.00147728,0.00147728,0.00147728
35,463.611,0.64239,1.20276,0.64904,1.03403,0.69861,0.16545,0.16557,0.12907,0.78707,0.15455,0.15989,0.12712,1.03712,2.61376,1.20403,1.41074,0.00146144,0.00146144,0.00146144
