epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6764,0.53365,1.05638,0.53024,1.01645,0.79853,0.12894,0.13788,0.11839,0.79853,0.12894,0.13789,0.11371,0.84565,2.29583,0.91844,1.01997,0.000392157,0.000392157,0.000392157
2,26.6293,0.63991,1.17922,0.63676,1.06135,0.81332,0.12588,0.13476,0.11291,0.82246,0.1273,0.1353,0.10769,0.90457,2.31824,1.04802,1.09105,0.000792033,0.000792033,0.000792033
3,39.5383,0.65066,1.2573,0.67473,1.06543,0.75273,0.12447,0.13025,0.10871,0.75273,0.12447,0.13031,0.10584,0.93503,2.25495,1.03469,1.13709,0.00119141,0.00119141,0.00119141
4,52.4767,0.66133,1.2171,0.7153,1.06167,0.80338,0.1273,0.13289,0.11073,0.79446,0.12588,0.13378,0.1034,0.8746,2.43731,0.97589,1.04331,0.00158992,0.00158992,0.00158992
5,64.7884,0.69399,1.36444,0.73892,1.09397,0.74205,0.12588,0.13602,0.11021,0.77844,0.12023,0.13026,0.1027,0.99618,2.55764,1.11818,1.19337,0.00198718,0.00198718,0.00198718
6,77.2946,0.72019,1.36803,0.74839,1.10877,0.7878,0.12447,0.13001,0.11182,0.79162,0.12588,0.13024,0.10608,0.92406,2.41272,1.04424,1.10111,0.00199219,0.00199219,0.00199219
7,89.6251,0.72355,1.46802,0.75424,1.1168,0.80465,0.12588,0.12754,0.10849,0.80465,0.12588,0.12807,0.10169,0.95667,2.48233,1.03716,1.13237,0.00198877,0.00198877,0.00198877
8,101.834,0.73236,1.44993,0.79885,1.12082,0.82858,0.12447,0.12982,0.10594,0.81916,0.12306,0.12886,0.10239,1.00535,2.39208,1.11238,1.13779,0.00198472,0.00198472,0.00198472
9,114.386,0.74559,1.4607,0.7981,1.11865,0.77198,0.12164,0.12664,0.10811,0.79307,0.12306,0.12666,0.10051,0.96145,2.46175,1.13324,1.09055,0.00198006,0.00198006,0.00198006
10,126.872,0.74174,1.45668,0.7942,1.11269,0.87622,0.1174,0.12515,0.09838,0.87622,0.1174,0.12681,0.10083,1.08056,2.30557,1.28673,1.26885,0.00197478,0.00197478,0.00197478
11,139.589,0.75196,1.38037,0.79894,1.13136,0.69374,0.12306,0.12573,0.10397,0.68577,0.12164,0.12445,0.10029,1.015,2.4483,1.24281,1.20021,0.0019689,0.0019689,0.0019689
12,151.914,0.74366,1.39354,0.78223,1.12083,0.64424,0.12447,0.12867,0.10575,0.63575,0.12344,0.12737,0.10214,0.99492,2.5038,1.10222,1.16705,0.00196241,0.00196241,0.00196241
13,164.085,0.75692,1.52576,0.79675,1.12934,0.76847,0.12588,0.13417,0.11334,0.77356,0.12588,0.13474,0.1073,0.86878,2.442,0.9378,1.08259,0.00195532,0.00195532,0.00195532
14,176.551,0.70347,1.32891,0.78803,1.10519,0.81495,0.12306,0.1316,0.11268,0.7496,0.12447,0.12995,0.10588,0.88736,2.50721,1.05155,1.06132,0.00194763,0.00194763,0.00194763
15,189.232,0.72171,1.32617,0.77927,1.10286,0.71367,0.12306,0.12873,0.10249,0.87051,0.1174,0.12861,0.09821,1.03445,2.67385,1.18979,1.26801,0.00193935,0.00193935,0.00193935
