epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.619,0.54362,1.10157,0.57277,1.02094,0.80911,0.13154,0.14054,0.12025,0.8409,0.12871,0.13892,0.11461,0.82583,2.04191,0.83782,1.05473,0.00024,0.00024,0.00024
2,25.4403,0.59348,1.16739,0.58745,1.03757,0.84458,0.1273,0.13695,0.1165,0.84458,0.1273,0.13697,0.11177,0.89952,2.10608,0.90183,1.06597,0.000499922,0.000499922,0.000499922
3,38.4813,0.62915,1.24885,0.6464,1.04534,0.7379,0.12447,0.13406,0.10862,0.7379,0.12447,0.13328,0.10443,1.02003,2.15797,1.08626,1.16456,0.000759525,0.000759525,0.000759525
4,51.2196,0.66652,1.30971,0.68685,1.06735,0.77911,0.12447,0.12874,0.11136,0.79284,0.12992,0.13669,0.10867,0.83223,2.37654,0.92829,1.0451,0.00101857,0.00101857,0.00101857
5,63.3294,0.67014,1.24607,0.68418,1.07227,0.7715,0.12447,0.12793,0.10903,0.78903,0.1273,0.13067,0.10455,0.90177,2.20486,1.16084,1.12366,0.0012768,0.0012768,0.0012768
6,75.4001,0.66774,1.29533,0.6834,1.0706,0.90693,0.12447,0.13258,0.10266,0.90693,0.12447,0.13333,0.10274,1.06464,2.32357,1.00633,1.24581,0.00153399,0.00153399,0.00153399
7,87.4908,0.65464,1.33942,0.73521,1.06083,0.90116,0.12164,0.1284,0.10342,0.81393,0.1273,0.12873,0.09937,1.12154,2.31917,1.05156,1.27628,0.00178989,0.00178989,0.00178989
8,99.5849,0.69727,1.45659,0.72908,1.07891,0.26828,0.07638,0.06546,0.04304,0.21781,0.04385,0.03332,0.02361,1.74642,18.5066,2.50601,1.97149,0.00198472,0.00198472,0.00198472
9,112.137,0.75254,1.51067,0.79417,1.12792,0.58564,0.12447,0.12155,0.08964,0.513,0.11457,0.11312,0.07535,1.19464,5.26542,1.3958,1.37965,0.00198006,0.00198006,0.00198006
10,124.562,0.75546,1.49684,0.8128,1.10604,0.51184,0.1075,0.10799,0.08181,0.64943,0.08204,0.08355,0.04877,1.26222,5.64765,1.85154,1.41605,0.00197478,0.00197478,0.00197478
