epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8836,0.53426,1.0231,0.52862,0.9851,0.72877,0.16182,0.17183,0.14867,0.70116,0.15636,0.16834,0.14299,0.82538,2.5516,0.995,1.10792,0.0005,0.0005,0.0005
2,27.4005,0.52552,0.98196,0.49013,0.96958,0.81995,0.15091,0.1644,0.13425,0.80959,0.14909,0.15928,0.1311,0.89827,2.75613,1.10197,1.18746,0.00101192,0.00101192,0.00101192
3,41.0186,0.55371,1.0029,0.5278,0.99581,0.73808,0.15818,0.16187,0.13008,0.72959,0.15636,0.16048,0.12993,0.96562,2.58575,1.13838,1.25367,0.00151561,0.00151561,0.00151561
4,55.2026,0.60892,1.0897,0.59208,1.01395,0.79201,0.15636,0.16447,0.13252,0.79201,0.15636,0.16381,0.13561,0.95671,2.61375,1.12801,1.22275,0.00195248,0.00195248,0.00195248
5,68.2428,0.5842,1.09371,0.57046,0.99943,0.67464,0.14909,0.15395,0.12361,0.66641,0.14727,0.15083,0.12114,0.90844,2.75455,1.21567,1.15201,0.00193664,0.00193664,0.00193664
6,81.2512,0.57472,1.08052,0.54588,1.00836,0.77539,0.16364,0.16325,0.12902,0.72369,0.16364,0.16233,0.13064,0.99741,2.84415,1.19231,1.33171,0.0019208,0.0019208,0.0019208
7,94.1468,0.61342,1.11583,0.60876,1.02083,0.67824,0.16364,0.16633,0.13891,0.73141,0.16,0.16516,0.13431,0.93152,2.65683,1.15172,1.20264,0.00190496,0.00190496,0.00190496
8,107.566,0.6209,1.177,0.60961,1.00076,0.75973,0.16182,0.16797,0.13746,0.7512,0.16,0.16271,0.13581,0.94962,3.04044,1.33698,1.21528,0.00188912,0.00188912,0.00188912
9,120.627,0.59358,1.07246,0.58042,1.0097,0.75562,0.16909,0.17249,0.13781,0.74749,0.16727,0.1698,0.13534,0.93074,2.74607,1.24451,1.23371,0.00187328,0.00187328,0.00187328
10,133.788,0.6305,1.19743,0.60442,1.03415,0.80255,0.15273,0.16204,0.12593,0.793,0.15091,0.15925,0.13018,0.98242,2.61036,1.23437,1.29747,0.00185744,0.00185744,0.00185744
11,146.936,0.62577,1.19565,0.62717,1.01722,0.7771,0.16,0.16561,0.13362,0.73633,0.15741,0.16118,0.1322,0.92871,2.63219,1.23468,1.19879,0.0018416,0.0018416,0.0018416
12,159.951,0.60298,1.09323,0.58045,1.02801,0.73119,0.16545,0.17102,0.13199,0.7289,0.16182,0.16854,0.12626,1.03262,3.01513,1.25064,1.35268,0.00182576,0.00182576,0.00182576
13,173.163,0.63616,1.25061,0.62057,1.02709,0.71191,0.16909,0.16396,0.1237,0.69538,0.16545,0.15832,0.1252,1.0521,2.58438,1.27113,1.36875,0.00180992,0.00180992,0.00180992
14,186.414,0.60345,1.14306,0.60082,1.01387,0.84012,0.15818,0.16258,0.13404,0.8208,0.15455,0.16076,0.13017,0.86351,2.56869,1.10565,1.17762,0.00179408,0.00179408,0.00179408
15,200.129,0.61815,1.20181,0.58701,1.0148,0.78072,0.16,0.16792,0.13856,0.75758,0.15636,0.15991,0.13559,0.85533,2.62763,1.12718,1.17103,0.00177824,0.00177824,0.00177824
16,213.316,0.63551,1.17286,0.61528,1.02235,0.77847,0.15091,0.1538,0.12274,0.75972,0.14727,0.14593,0.12011,0.99035,2.83388,1.35227,1.31452,0.0017624,0.0017624,0.0017624
17,226.492,0.62335,1.19539,0.61766,1.0163,0.74613,0.16364,0.16918,0.13637,0.73395,0.16,0.16281,0.13474,0.93088,2.70895,1.1344,1.23142,0.00174656,0.00174656,0.00174656
18,239.674,0.62092,1.19092,0.59576,1.02509,0.81037,0.15273,0.15842,0.12436,0.80051,0.15091,0.15444,0.12468,1.02979,2.74375,1.16557,1.32136,0.00173072,0.00173072,0.00173072
19,252.66,0.60254,1.15954,0.61319,1.02716,0.78063,0.16545,0.17271,0.13341,0.7456,0.15818,0.16347,0.1321,1.00947,2.74766,1.07272,1.36786,0.00171488,0.00171488,0.00171488
20,265.803,0.6124,1.13706,0.59119,1.03828,0.887,0.16182,0.16825,0.13316,0.86707,0.15818,0.16069,0.12873,0.94972,2.64002,1.03937,1.26029,0.00169904,0.00169904,0.00169904
21,279.004,0.59772,1.13599,0.59437,1.0117,0.84342,0.16545,0.17602,0.14075,0.80634,0.15818,0.16478,0.13445,0.90965,2.53513,1.11657,1.21791,0.0016832,0.0016832,0.0016832
22,292.24,0.62233,1.21312,0.6013,1.01787,0.73116,0.16,0.16435,0.1296,0.72286,0.15818,0.16082,0.12803,1.01583,2.75542,1.34685,1.24636,0.00166736,0.00166736,0.00166736
23,305.162,0.59719,1.09329,0.59005,1.00323,0.80581,0.16727,0.17647,0.14554,0.67781,0.16545,0.16912,0.13868,0.94855,2.69169,1.13622,1.19628,0.00165152,0.00165152,0.00165152
24,318.107,0.57356,1.03791,0.55879,1.0039,0.80654,0.15818,0.16745,0.13503,0.7999,0.15263,0.16236,0.13014,1.00901,2.85613,1.20729,1.25762,0.00163568,0.00163568,0.00163568
25,331.246,0.6399,1.14052,0.60658,1.02543,0.8531,0.15455,0.16672,0.13162,0.84307,0.15273,0.16094,0.13123,1.02575,2.73289,1.15248,1.33474,0.00161984,0.00161984,0.00161984
26,344.755,0.62902,1.14731,0.59516,1.02713,0.73217,0.16,0.16567,0.13295,0.72003,0.15818,0.16432,0.13275,0.92721,2.55012,1.21012,1.24367,0.001604,0.001604,0.001604
27,357.895,0.62261,1.11403,0.61518,1.01916,0.8104,0.16,0.16972,0.13829,0.63304,0.16364,0.16381,0.13474,0.93081,2.54603,1.18381,1.22484,0.00158816,0.00158816,0.00158816
28,370.903,0.61075,1.18238,0.59521,0.99834,0.83427,0.16182,0.17182,0.13918,0.83427,0.16182,0.17015,0.14022,0.90345,2.42512,1.06082,1.16401,0.00157232,0.00157232,0.00157232
29,383.907,0.61737,1.08375,0.61085,1.02503,0.77587,0.16909,0.17578,0.13924,0.81956,0.16364,0.16826,0.13662,0.94912,2.5667,1.05082,1.27268,0.00155648,0.00155648,0.00155648
30,397.061,0.60937,1.11782,0.59787,1.03524,0.74355,0.16545,0.17003,0.13991,0.72721,0.16182,0.16708,0.13504,0.95257,2.37536,1.08913,1.25148,0.00154064,0.00154064,0.00154064
31,410.143,0.58669,1.07094,0.56858,1.02149,0.86448,0.14909,0.1622,0.13502,0.77616,0.15091,0.16069,0.13426,0.98214,2.65457,1.13383,1.28876,0.0015248,0.0015248,0.0015248
32,423.204,0.60334,1.07379,0.58568,1.02435,0.79693,0.16545,0.17754,0.14438,0.80569,0.16727,0.177,0.14048,0.90649,3.02117,1.1048,1.22716,0.00150896,0.00150896,0.00150896
33,436.083,0.56282,1.04191,0.54928,0.99594,0.7828,0.16,0.16552,0.13137,0.81285,0.15636,0.16522,0.13007,0.98158,2.77118,1.17042,1.30423,0.00149312,0.00149312,0.00149312
34,449.201,0.58345,1.05527,0.57607,0.99608,0.82158,0.15818,0.16727,0.13765,0.81213,0.15636,0.16271,0.13295,0.91289,2.83711,1.16661,1.1512,0.00147728,0.00147728,0.00147728
35,462.182,0.59774,1.13151,0.58572,1.00623,0.875,0.15636,0.1668,0.13271,0.85465,0.15273,0.16464,0.12331,0.99659,2.72698,1.15517,1.31492,0.00146144,0.00146144,0.00146144
36,475.621,0.60139,1.1456,0.56956,1.01013,0.82132,0.15818,0.16454,0.13296,0.80265,0.15636,0.16205,0.13038,0.93229,2.47165,1.18624,1.21848,0.0014456,0.0014456,0.0014456
37,488.669,0.60313,1.11412,0.57814,1.0226,0.73746,0.16545,0.17074,0.13031,0.74187,0.16182,0.16289,0.13065,0.92035,2.56344,1.15093,1.19683,0.00142976,0.00142976,0.00142976
38,501.566,0.58811,1.1292,0.55894,1.01516,0.76643,0.16909,0.17617,0.1409,0.74933,0.16545,0.17412,0.13801,0.96295,2.79168,1.09609,1.23166,0.00141392,0.00141392,0.00141392
39,514.525,0.59747,1.09946,0.57208,1.02548,0.68189,0.16364,0.16928,0.13822,0.75813,0.15636,0.16666,0.1338,0.8984,2.70893,1.06953,1.17824,0.00139808,0.00139808,0.00139808
40,527.597,0.59845,1.05566,0.57288,1.01106,0.69643,0.16909,0.17227,0.139,0.72452,0.16727,0.17059,0.13552,0.88948,2.58362,1.17998,1.19919,0.00138224,0.00138224,0.00138224
41,540.607,0.60146,1.06864,0.56513,1.01857,0.81567,0.16182,0.16823,0.13668,0.79734,0.15818,0.16295,0.13156,0.91478,2.54734,1.14366,1.22296,0.0013664,0.0013664,0.0013664
42,553.681,0.56694,1.05424,0.55539,0.99911,0.77902,0.16545,0.17378,0.14376,0.76787,0.16364,0.16898,0.1436,0.9246,2.52527,1.06457,1.19996,0.00135056,0.00135056,0.00135056
43,566.495,0.57836,1.0298,0.56012,1.00205,0.78897,0.16,0.17379,0.14308,0.77629,0.16364,0.17293,0.14654,0.92021,2.40482,1.07295,1.20715,0.00133472,0.00133472,0.00133472
44,579.696,0.57653,1.00549,0.53876,0.99699,0.76545,0.16727,0.1713,0.14137,0.74881,0.16364,0.1686,0.13715,0.93996,2.58568,1.09158,1.2076,0.00131888,0.00131888,0.00131888
45,592.593,0.59829,1.11854,0.56963,1.00549,0.78275,0.15636,0.15815,0.12696,0.87914,0.15091,0.15848,0.12704,1.05408,3.16761,1.4105,1.3438,0.00130304,0.00130304,0.00130304
46,605.668,0.5963,1.09977,0.59892,1.02168,0.74772,0.15455,0.15907,0.1234,0.73,0.15091,0.15686,0.12565,1.07678,3.03602,1.37334,1.34659,0.0012872,0.0012872,0.0012872
47,618.901,0.59466,1.06879,0.56192,1.01302,0.71967,0.15871,0.16335,0.12912,0.72218,0.15636,0.16063,0.12949,1.00843,2.69533,1.13774,1.27172,0.00127136,0.00127136,0.00127136
