epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.843,0.56966,1.14089,0.61095,1.01623,0.84447,0.16545,0.17399,0.1423,0.83519,0.16364,0.16807,0.14086,0.86611,2.64806,0.97016,1.09267,0.0005,0.0005,0.0005
2,27.3338,0.58837,1.21457,0.58246,1.01041,0.75118,0.16467,0.17178,0.1346,0.73471,0.16113,0.16489,0.12883,0.91278,2.50043,1.13175,1.19046,0.00101192,0.00101192,0.00101192
3,40.8687,0.65404,1.2513,0.65821,1.05735,0.62722,0.16364,0.15276,0.1168,0.68886,0.16102,0.15628,0.11749,1.08982,2.39223,1.33676,1.34802,0.00151561,0.00151561,0.00151561
4,55.0027,0.69679,1.34369,0.72191,1.07529,0.8251,0.15818,0.16377,0.12219,0.8148,0.15636,0.15928,0.11617,1.06266,2.8213,1.29665,1.35518,0.00195248,0.00195248,0.00195248
5,67.956,0.69396,1.36544,0.73136,1.06575,0.64502,0.16182,0.16394,0.1209,0.6292,0.15818,0.1575,0.11725,1.11942,3.01654,1.43527,1.41641,0.00193664,0.00193664,0.00193664
6,80.7762,0.6839,1.32165,0.69404,1.0732,0.66177,0.16,0.16192,0.12068,0.67208,0.16,0.15885,0.11838,1.12887,3.00784,1.4084,1.44596,0.0019208,0.0019208,0.0019208
7,93.7836,0.71609,1.36007,0.74622,1.08773,0.73973,0.16,0.16219,0.12814,0.69277,0.15818,0.15962,0.12942,1.02792,2.82818,1.14047,1.34068,0.00190496,0.00190496,0.00190496
8,106.806,0.72038,1.41638,0.72071,1.07401,0.73521,0.16364,0.17261,0.14262,0.72684,0.16182,0.17172,0.13804,0.94136,2.61431,1.13256,1.21493,0.00188912,0.00188912,0.00188912
9,119.894,0.7304,1.30201,0.75676,1.09477,0.67275,0.16,0.16576,0.13504,0.66511,0.15818,0.16152,0.13209,0.95566,3.15669,1.18571,1.23078,0.00187328,0.00187328,0.00187328
10,132.994,0.73234,1.44188,0.76403,1.09866,0.79244,0.15273,0.15804,0.12913,0.7158,0.15636,0.15774,0.1287,0.94408,2.54947,1.33454,1.19325,0.00185744,0.00185744,0.00185744
11,145.898,0.7455,1.43569,0.77294,1.09781,0.67656,0.16364,0.16367,0.13322,0.6831,0.16182,0.16408,0.13206,0.93261,2.47113,1.15805,1.21142,0.0018416,0.0018416,0.0018416
12,159.034,0.71656,1.39405,0.72924,1.10955,0.85009,0.16364,0.16276,0.13412,0.83013,0.16,0.15616,0.13077,0.91574,2.81872,1.07108,1.16334,0.00182576,0.00182576,0.00182576
13,172.11,0.74273,1.49222,0.76203,1.10388,0.81492,0.15455,0.16141,0.12912,0.86945,0.14909,0.15203,0.12483,0.94826,2.87955,1.41439,1.22158,0.00180992,0.00180992,0.00180992
14,185.12,0.71365,1.41415,0.74076,1.08954,0.73213,0.16364,0.16151,0.11629,0.72529,0.15636,0.15799,0.11668,1.18535,3.19954,1.3263,1.43492,0.00179408,0.00179408,0.00179408
15,198.72,0.72917,1.52073,0.74355,1.08718,0.68988,0.17091,0.16993,0.13189,0.6752,0.16727,0.16292,0.12817,1.01066,2.75781,1.23138,1.27874,0.00177824,0.00177824,0.00177824
16,211.77,0.76065,1.45283,0.77616,1.10573,0.75983,0.15532,0.16665,0.12791,0.75094,0.1535,0.16346,0.12819,1.0331,2.56105,1.16925,1.31386,0.0017624,0.0017624,0.0017624
17,224.871,0.72889,1.42779,0.75299,1.08867,0.69473,0.16545,0.16855,0.13093,0.82884,0.15455,0.16621,0.13005,1.02291,2.75965,1.12935,1.32782,0.00174656,0.00174656,0.00174656
18,237.807,0.73427,1.48981,0.76655,1.11166,0.64542,0.14909,0.14989,0.12003,0.62667,0.14955,0.14824,0.11787,1.0397,2.70318,1.24531,1.26985,0.00173072,0.00173072,0.00173072
19,250.701,0.7112,1.42264,0.75039,1.0973,0.74651,0.17273,0.17679,0.14398,0.70123,0.1707,0.16962,0.13369,1.04235,2.55393,1.20058,1.28804,0.00171488,0.00171488,0.00171488
20,263.81,0.71661,1.45991,0.74231,1.10404,0.80532,0.16547,0.17344,0.14164,0.78763,0.16183,0.16811,0.13743,0.94557,2.51266,1.10133,1.22876,0.00169904,0.00169904,0.00169904
21,276.758,0.70859,1.3662,0.7268,1.08594,0.80112,0.17273,0.17477,0.1365,0.78256,0.16909,0.1725,0.13677,0.99922,2.52977,1.13267,1.27297,0.0016832,0.0016832,0.0016832
22,289.947,0.73667,1.48106,0.72545,1.0929,0.8239,0.15818,0.16933,0.13027,0.75694,0.15455,0.16254,0.12859,1.00848,2.5892,1.15931,1.23258,0.00166736,0.00166736,0.00166736
23,302.975,0.69916,1.34051,0.74127,1.06878,0.77692,0.1583,0.16527,0.13582,0.73079,0.16,0.1609,0.13157,0.94558,2.72141,1.13031,1.18157,0.00165152,0.00165152,0.00165152
24,315.911,0.68653,1.29105,0.70572,1.08385,0.81632,0.15818,0.16253,0.12902,0.70885,0.15818,0.15651,0.12489,1.01287,2.78333,1.19908,1.27077,0.00163568,0.00163568,0.00163568
25,329.213,0.72377,1.38513,0.71938,1.0973,0.75916,0.17091,0.17122,0.13466,0.75089,0.16909,0.16894,0.13596,0.99044,2.46355,1.17403,1.23882,0.00161984,0.00161984,0.00161984
26,342.306,0.71648,1.38424,0.71983,1.08855,0.87087,0.16909,0.17901,0.13239,0.85214,0.16545,0.17264,0.13512,1.05876,2.48774,1.2025,1.32256,0.001604,0.001604,0.001604
27,355.423,0.71066,1.33932,0.74753,1.0856,0.80346,0.15636,0.16866,0.13136,0.77526,0.15091,0.16053,0.12286,0.94989,2.66772,1.14141,1.22219,0.00158816,0.00158816,0.00158816
28,368.524,0.71382,1.43059,0.73251,1.07713,0.71557,0.16,0.17053,0.1313,0.6908,0.15455,0.16121,0.12432,1.0968,2.62984,1.12409,1.40752,0.00157232,0.00157232,0.00157232
29,381.418,0.71645,1.33586,0.728,1.09503,0.69349,0.16,0.16628,0.13309,0.8135,0.15091,0.16065,0.13015,0.99905,2.65389,1.17177,1.25616,0.00155648,0.00155648,0.00155648
30,394.648,0.70102,1.34934,0.71475,1.09564,0.80933,0.16,0.1685,0.13837,0.80013,0.15818,0.16267,0.13406,0.91167,2.67831,1.14579,1.22199,0.00154064,0.00154064,0.00154064
31,407.477,0.6629,1.31166,0.67764,1.06194,0.80057,0.15818,0.16774,0.1371,0.80057,0.15818,0.1655,0.13693,0.91792,2.49502,1.09783,1.18795,0.0015248,0.0015248,0.0015248
32,420.443,0.70358,1.2821,0.70395,1.08893,0.78975,0.16364,0.16867,0.133,0.79629,0.16364,0.16748,0.13025,1.0186,3.02254,1.10747,1.31451,0.00150896,0.00150896,0.00150896
33,433.423,0.64724,1.25687,0.65675,1.05526,0.74004,0.16909,0.17241,0.1353,0.72413,0.16545,0.16939,0.13158,1.06758,2.77521,1.1656,1.30506,0.00149312,0.00149312,0.00149312
34,446.233,0.66621,1.2534,0.68084,1.05457,0.77181,0.16727,0.17997,0.13944,0.83504,0.16182,0.17628,0.14094,1.0017,2.58218,1.0463,1.26703,0.00147728,0.00147728,0.00147728
