epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9127,0.50061,0.9881,0.50976,0.99007,0.77072,0.13154,0.14052,0.11948,0.77072,0.13154,0.14072,0.11515,0.8355,2.08903,0.88537,1.01989,0.00024,0.00024,0.00024
2,25.6195,0.59712,1.18259,0.58339,1.03835,0.8324,0.12871,0.13901,0.11938,0.8324,0.12871,0.13895,0.11498,0.83264,2.05317,0.85204,1.0403,0.000499922,0.000499922,0.000499922
3,38.8204,0.62224,1.25061,0.65825,1.04056,0.76337,0.1273,0.13414,0.11299,0.76337,0.1273,0.13253,0.10477,0.8871,2.1963,0.98231,1.08371,0.000759525,0.000759525,0.000759525
4,51.4833,0.66612,1.31714,0.68542,1.06411,0.80269,0.12306,0.12767,0.11125,0.80269,0.12306,0.12687,0.10454,0.81903,2.58828,0.99166,1.02408,0.00101857,0.00101857,0.00101857
5,63.4393,0.66407,1.26248,0.68847,1.06043,0.75945,0.12588,0.12818,0.1119,0.78694,0.1273,0.12851,0.10461,0.87127,2.37775,1.09263,1.05759,0.0012768,0.0012768,0.0012768
6,75.4764,0.67013,1.30099,0.69152,1.07036,0.80073,0.12588,0.13256,0.10704,0.72338,0.12871,0.13264,0.10116,0.98705,2.42583,1.07526,1.18141,0.00153399,0.00153399,0.00153399
7,87.5268,0.63568,1.29086,0.7008,1.05494,0.87338,0.12023,0.12519,0.09655,0.89719,0.11881,0.12366,0.09767,1.15207,2.52138,1.20739,1.30728,0.00178989,0.00178989,0.00178989
8,99.6391,0.67974,1.41559,0.70953,1.06527,0.80895,0.12306,0.12601,0.10346,0.77595,0.12023,0.12401,0.09433,1.05004,2.74949,1.16384,1.29098,0.00198472,0.00198472,0.00198472
9,112.222,0.77168,1.53567,0.79003,1.15194,0.67063,0.12588,0.12142,0.09428,0.65529,0.12306,0.1203,0.08795,1.17471,2.82274,1.23302,1.37165,0.00198006,0.00198006,0.00198006
10,124.691,0.73698,1.50767,0.77999,1.10274,0.65679,0.1174,0.11522,0.08097,0.75626,0.11033,0.11282,0.06779,1.47554,3.98732,1.51187,1.66416,0.00197478,0.00197478,0.00197478
11,137.008,0.73928,1.35905,0.76505,1.11367,0.65772,0.12447,0.12507,0.08873,0.65024,0.12306,0.12369,0.08084,1.27539,2.98098,1.3395,1.61547,0.0019689,0.0019689,0.0019689
12,149.315,0.71801,1.33396,0.76374,1.11753,0.72738,0.12306,0.12393,0.08893,0.71902,0.12164,0.12302,0.08806,1.30393,2.78117,1.42763,1.70193,0.00196241,0.00196241,0.00196241
13,161.339,0.712,1.41929,0.72933,1.09256,0.85214,0.12306,0.1272,0.10182,0.87195,0.12306,0.1275,0.09891,1.01655,2.37116,1.22492,1.19133,0.00195532,0.00195532,0.00195532
14,173.583,0.71486,1.39804,0.80359,1.10188,0.55542,0.11881,0.10709,0.07763,0.57021,0.11174,0.10014,0.07003,1.10623,2.83826,1.57718,1.33455,0.00194763,0.00194763,0.00194763
15,185.865,0.73715,1.43125,0.76432,1.11698,0.69726,0.11881,0.12323,0.10084,0.71387,0.12164,0.1243,0.09841,0.956,2.27692,1.24111,1.13347,0.00193935,0.00193935,0.00193935
16,198.19,0.75153,1.47104,0.78149,1.1221,0.59562,0.12871,0.12595,0.09744,0.58191,0.13013,0.12812,0.09449,1.10087,2.35546,1.3136,1.36981,0.00193048,0.00193048,0.00193048
17,210.376,0.71783,1.43734,0.79684,1.09995,0.73581,0.1174,0.12314,0.08821,0.63076,0.12023,0.12032,0.08083,1.24191,3.17503,1.38306,1.51055,0.00192103,0.00192103,0.00192103
18,222.89,0.72896,1.42713,0.742,1.11597,0.81404,0.12164,0.12978,0.10211,0.80458,0.12023,0.12888,0.09516,1.10096,3.05781,1.36855,1.33867,0.001911,0.001911,0.001911
19,235.272,0.72411,1.44675,0.78439,1.1115,0.76105,0.11598,0.12576,0.10546,0.57984,0.12023,0.12434,0.09686,0.95232,2.47494,1.73532,1.18611,0.00190041,0.00190041,0.00190041
