epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.636,0.50543,0.94998,0.50787,0.96656,0.73396,0.16553,0.17522,0.15168,0.7259,0.16372,0.17236,0.14807,0.84918,2.68762,1.02203,1.11281,0.0005,0.0005,0.0005
2,27.8418,0.5022,0.88181,0.45508,0.9512,0.84777,0.15636,0.16959,0.14665,0.83791,0.15455,0.16969,0.14367,0.88219,2.67546,1.11307,1.15248,0.00101192,0.00101192,0.00101192
3,41.1774,0.51005,0.86121,0.46319,0.9633,0.88822,0.15273,0.17177,0.14924,0.86127,0.14727,0.16549,0.14512,0.87821,2.89877,1.20498,1.14857,0.00151561,0.00151561,0.00151561
4,55.4362,0.55625,0.94093,0.52347,0.97569,0.82526,0.15455,0.16469,0.14045,0.82626,0.147,0.15859,0.1346,0.92163,2.89803,1.2637,1.22255,0.00195248,0.00195248,0.00195248
5,68.3182,0.54435,0.93183,0.51142,0.9714,0.74922,0.16182,0.1701,0.1427,0.73238,0.15818,0.16259,0.13755,0.89348,2.96055,1.11023,1.13858,0.00193664,0.00193664,0.00193664
6,81.0257,0.51733,0.93563,0.4748,0.96911,0.81785,0.15818,0.16276,0.13411,0.79656,0.15273,0.15669,0.12771,0.92831,3.20572,1.2579,1.26508,0.0019208,0.0019208,0.0019208
7,94.526,0.55597,0.98043,0.51485,0.9866,0.88758,0.15273,0.16189,0.12768,0.70625,0.15273,0.15488,0.12181,1.00666,2.75455,1.41329,1.36136,0.00190496,0.00190496,0.00190496
8,107.48,0.5739,1.02449,0.51657,0.9736,0.87528,0.15636,0.15902,0.12945,0.85387,0.15091,0.15573,0.12379,0.9457,2.76711,1.24529,1.28677,0.00188912,0.00188912,0.00188912
9,120.536,0.55728,0.94812,0.51767,0.98191,0.70771,0.15636,0.15827,0.12789,0.69948,0.15455,0.15658,0.12531,0.97635,3.07385,1.32118,1.28893,0.00187328,0.00187328,0.00187328
10,133.6,0.57226,1.04752,0.54094,0.99559,0.75198,0.16727,0.16771,0.1306,0.73563,0.16364,0.16636,0.13062,0.95854,2.65199,1.10484,1.30415,0.00185744,0.00185744,0.00185744
11,146.599,0.58525,1.04127,0.55875,0.98644,0.7187,0.16723,0.17085,0.1385,0.69752,0.16364,0.16781,0.14046,0.88651,2.51602,1.15668,1.20077,0.0018416,0.0018416,0.0018416
12,159.612,0.5406,0.90682,0.5173,0.98169,0.85294,0.16,0.1709,0.13863,0.85294,0.16,0.16953,0.13753,0.93194,2.80532,1.17406,1.33858,0.00182576,0.00182576,0.00182576
