epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7667,0.4739,0.87041,0.44947,0.9444,0.85301,0.16364,0.17759,0.15207,0.84353,0.16182,0.17567,0.1517,0.77678,2.73608,1.0181,1.12427,0.0005,0.0005,0.0005
2,28.6685,0.45283,0.78837,0.4009,0.93016,0.85093,0.16182,0.16981,0.14228,0.84137,0.16,0.16767,0.13962,0.86602,2.45874,1.14143,1.20039,0.00101192,0.00101192,0.00101192
3,42.3544,0.48232,0.80031,0.42912,0.94722,0.88947,0.16727,0.17713,0.1393,0.87013,0.16364,0.16811,0.1375,0.91216,2.83249,1.07703,1.30173,0.00151561,0.00151561,0.00151561
4,56.402,0.50908,0.86866,0.46154,0.9599,0.76682,0.16182,0.16242,0.13502,0.76261,0.15455,0.15208,0.12681,0.86865,3.02569,1.27524,1.24296,0.00195248,0.00195248,0.00195248
5,69.058,0.51082,0.87327,0.46451,0.96345,0.87517,0.15818,0.16887,0.14044,0.85505,0.15455,0.16572,0.14077,0.92079,2.73994,1.10677,1.28907,0.00193664,0.00193664,0.00193664
6,82.2745,0.48041,0.86081,0.43361,0.94727,0.81297,0.15016,0.15974,0.13291,0.83266,0.1538,0.15951,0.13503,0.94817,2.78851,1.16902,1.30296,0.0019208,0.0019208,0.0019208
7,95.26,0.51961,0.87547,0.48812,0.97071,0.78494,0.15273,0.16541,0.13332,0.78494,0.15273,0.16549,0.13301,0.99293,2.80576,1.21312,1.35767,0.00190496,0.00190496,0.00190496
8,108.263,0.54198,0.94855,0.49683,0.9605,0.73694,0.163,0.17066,0.14028,0.72038,0.16,0.16635,0.14222,0.87097,2.69404,1.11126,1.18777,0.00188912,0.00188912,0.00188912
9,121.49,0.52233,0.87649,0.48783,0.9659,0.69536,0.16182,0.16647,0.13752,0.71723,0.16182,0.1653,0.13542,0.8966,2.96153,1.13174,1.30505,0.00187328,0.00187328,0.00187328
10,134.343,0.5385,0.9909,0.51,0.97388,0.70425,0.15636,0.16299,0.13539,0.82702,0.15091,0.16035,0.13372,0.88391,3.15792,1.13047,1.24585,0.00185744,0.00185744,0.00185744
11,147.704,0.55187,0.95795,0.51864,0.967,0.71884,0.16182,0.16496,0.13931,0.72692,0.16364,0.16646,0.13891,0.8336,2.76342,1.19139,1.14699,0.0018416,0.0018416,0.0018416
12,160.514,0.51476,0.86007,0.47926,0.97179,0.82613,0.16,0.1646,0.1386,0.79002,0.16,0.16464,0.13497,0.86284,2.77706,1.11996,1.19174,0.00182576,0.00182576,0.00182576
13,173.394,0.5462,1.00235,0.51073,0.97687,0.71395,0.16,0.16312,0.13549,0.70584,0.15818,0.16178,0.1335,0.87006,2.90237,1.09741,1.1763,0.00180992,0.00180992,0.00180992
14,186.953,0.52483,0.92546,0.49544,0.97087,0.82603,0.16727,0.17065,0.13906,0.80807,0.16364,0.1653,0.13721,0.87599,2.7571,1.11962,1.19055,0.00179408,0.00179408,0.00179408
15,199.84,0.54473,0.99585,0.49748,0.97075,0.799,0.16364,0.16654,0.14022,0.78037,0.16182,0.16326,0.13497,0.90398,2.78048,1.2465,1.22539,0.00177824,0.00177824,0.00177824
16,213.297,0.54927,0.94423,0.50886,0.97139,0.79044,0.15636,0.15961,0.1375,0.78125,0.15455,0.15784,0.1359,0.95826,2.78123,1.15786,1.34599,0.0017624,0.0017624,0.0017624
17,226.382,0.52993,0.9527,0.49231,0.96686,0.69821,0.16909,0.17255,0.14141,0.68742,0.16394,0.16258,0.13805,0.89079,3.02252,1.18942,1.24408,0.00174656,0.00174656,0.00174656
18,239.121,0.53379,0.97528,0.49148,0.97402,0.72596,0.16545,0.1769,0.14939,0.84626,0.15636,0.17462,0.14773,0.87889,3.25198,1.08179,1.24891,0.00173072,0.00173072,0.00173072
19,252.459,0.53987,0.97332,0.51671,0.98498,0.85426,0.16,0.16629,0.14147,0.83451,0.15636,0.16466,0.13945,0.84321,2.93121,1.17928,1.17279,0.00171488,0.00171488,0.00171488
20,265.385,0.527,0.90808,0.48224,0.97594,0.80822,0.15636,0.16617,0.13629,0.81762,0.15818,0.16364,0.14059,0.93495,2.46755,1.1998,1.26753,0.00169904,0.00169904,0.00169904
21,278.39,0.50903,0.93381,0.47672,0.9579,0.80941,0.16364,0.16791,0.13642,0.79428,0.16182,0.16611,0.14123,0.9314,2.5685,1.21482,1.30578,0.0016832,0.0016832,0.0016832
22,291.552,0.54399,0.99154,0.49044,0.9778,0.83817,0.15273,0.16056,0.13142,0.82819,0.15091,0.15991,0.13355,0.9941,2.78782,1.26647,1.32479,0.00166736,0.00166736,0.00166736
23,304.281,0.51248,0.88961,0.47575,0.95192,0.73959,0.16364,0.16755,0.137,0.73025,0.16182,0.16592,0.14005,0.941,2.81573,1.17207,1.2402,0.00165152,0.00165152,0.00165152
24,317.189,0.49685,0.84544,0.464,0.95816,0.7871,0.16727,0.16977,0.13533,0.75777,0.15636,0.1602,0.12869,0.86301,3.37845,1.10441,1.23653,0.00163568,0.00163568,0.00163568
25,330.335,0.56308,0.97488,0.51697,0.9751,0.82305,0.15636,0.16545,0.135,0.78836,0.15455,0.16284,0.13447,0.93491,2.94407,1.11083,1.31836,0.00161984,0.00161984,0.00161984
26,343.358,0.5601,0.95923,0.52189,0.98994,0.85184,0.15455,0.15613,0.13005,0.84182,0.15273,0.15624,0.13216,0.9804,2.86614,1.30074,1.30728,0.001604,0.001604,0.001604
27,356.663,0.53247,0.9513,0.51182,0.96451,0.77769,0.16364,0.16531,0.12924,0.79022,0.16182,0.1643,0.1347,1.00183,2.79606,1.23791,1.2649,0.00158816,0.00158816,0.00158816
28,369.622,0.5484,0.96593,0.50912,0.96705,0.8589,0.16364,0.16778,0.13806,0.81481,0.16545,0.16689,0.13724,0.8854,2.64386,1.0785,1.16259,0.00157232,0.00157232,0.00157232
29,382.637,0.52819,0.87215,0.49731,0.9763,0.77711,0.16727,0.16716,0.13735,0.78921,0.16364,0.16568,0.13046,0.88375,2.8623,1.13149,1.21709,0.00155648,0.00155648,0.00155648
30,395.818,0.52929,0.93873,0.51496,0.98425,0.863,0.15636,0.16743,0.13726,0.84781,0.15455,0.16369,0.13705,0.88759,2.68229,1.31027,1.19533,0.00154064,0.00154064,0.00154064
31,408.708,0.50672,0.89909,0.47734,0.96731,0.82016,0.15636,0.16378,0.1377,0.80109,0.15273,0.15765,0.13349,0.91006,3.14679,1.14858,1.1891,0.0015248,0.0015248,0.0015248
32,421.432,0.52034,0.88346,0.49497,0.96866,0.80322,0.15818,0.16743,0.13469,0.85777,0.15455,0.16628,0.13563,0.93209,3.0446,1.08076,1.27414,0.00150896,0.00150896,0.00150896
33,434.471,0.49131,0.85244,0.47924,0.94676,0.77953,0.16545,0.1759,0.14335,0.7624,0.16182,0.16976,0.14217,0.86117,2.85306,1.05032,1.17163,0.00149312,0.00149312,0.00149312
34,447.268,0.51991,0.87545,0.48392,0.95705,0.74705,0.15636,0.16705,0.13925,0.78912,0.15273,0.16678,0.13922,0.8232,2.96221,1.08374,1.15152,0.00147728,0.00147728,0.00147728
35,459.83,0.52941,0.90379,0.49468,0.96461,0.79354,0.16,0.16863,0.14263,0.7717,0.15818,0.16892,0.14233,0.80879,2.59192,1.04731,1.08277,0.00146144,0.00146144,0.00146144
36,473.342,0.5162,0.92117,0.48571,0.9583,0.75819,0.16364,0.16854,0.13931,0.74015,0.16,0.17094,0.13909,0.87807,2.59277,1.12258,1.17649,0.0014456,0.0014456,0.0014456
37,486.063,0.52351,0.95387,0.47218,0.97069,0.90174,0.15636,0.16903,0.13204,0.89125,0.15455,0.16772,0.13397,0.94858,2.70673,1.12715,1.32015,0.00142976,0.00142976,0.00142976
